Student ID,First Name,Last Name,Age,Gender,University,Degree Program,Year of Study,GPA,Part-time Job,Residential Status,Monthly Income,Preferred Accommodation,Distance to University,Transportation Method,Family Income,Scholarship Status,Boarding House Interest,Accommodation Budget,Special Needs
2024039,Ayesh,Perera,20,Male,SLIIT,IT,1th Year,3.15,No,On-campus,0,On-campus,16 km,Walk,235419,Yes,Yes,20579,No
2024040,Dinuka,Wickramasinghe,18,Female,University of Moratuwa,Engineering,2th Year,2.61,No,On-campus,0,Private residence,12 km,Private vehicle,264623,Yes,No,20417,No
2024041,Harsha,Perera,21,Female,University of Colombo,IT,3th Year,3.07,No,On-campus,0,On-campus,8 km,Bus,204493,Yes,No,25455,Yes
2024042,Tharushi,Fernando,24,Male,University of Moratuwa,Engineering,3th Year,3.62,Yes,Boarding house,18137,Private residence,16 km,Walk,216177,No,No,23659,Yes
2024043,Nethmi,Jayasekara,20,Male,University of Colombo,Medicine,3th Year,3.19,Yes,On-campus,18433,Boarding house,13 km,Train,145431,Yes,Yes,16129,No
2024044,Kasun,Silva,19,Male,NSBM Green University,IT,1th Year,3.46,No,Off-campus,0,Private residence,14 km,Private vehicle,58451,Yes,No,36969,No
2024045,Dinuka,Jayasekara,25,Male,NSBM Green University,Engineering,3th Year,2.18,No,Boarding house,0,Private residence,4 km,Walk,100637,No,No,24513,Yes
2024046,Nethmi,Wickramasinghe,21,Male,University of Colombo,Engineering,3th Year,3.21,Yes,Off-campus,19045,Boarding house,8 km,Bus,59331,Yes,Yes,34226,No
2024047,Dinuka,Fernando,21,Male,University of Moratuwa,Business,2th Year,3.29,Yes,Boarding house,16940,Private residence,9 km,Walk,278304,No,Yes,24137,No
2024048,Dinuka,Jayasekara,25,Female,University of Colombo,Engineering,1th Year,2.19,No,Off-campus,0,Boarding house,7 km,Bus,211329,No,Yes,20340,No
2024049,Nethmi,Wickramasinghe,23,Female,NSBM Green University,Engineering,4th Year,2.66,Yes,On-campus,18802,On-campus,17 km,Walk,134607,Yes,Yes,15533,Yes
2024050,Nethmi,Jayasekara,23,Female,University of Colombo,Business,4th Year,2.66,No,Boarding house,0,Boarding house,11 km,Train,288347,Yes,Yes,37908,Yes
2024051,Kasun,Silva,23,Male,SLIIT,IT,3th Year,2.56,Yes,Off-campus,3348,Boarding house,13 km,Bus,95885,No,Yes,27373,No
2024052,Harsha,Perera,25,Female,University of Colombo,Medicine,2th Year,2.45,Yes,Boarding house,2472,Private residence,18 km,Private vehicle,92780,No,Yes,15837,No
2024053,Harsha,Wijesinghe,18,Female,SLIIT,Medicine,4th Year,2.79,Yes,Off-campus,8023,On-campus,8 km,Bus,65629,Yes,Yes,37220,No
2024054,Ravindu,Wickramasinghe,23,Male,NSBM Green University,IT,2th Year,2.19,Yes,Boarding house,15078,On-campus,14 km,Walk,159275,No,Yes,17570,Yes
2024055,Kasun,Perera,21,Male,University of Moratuwa,IT,3th Year,3.96,No,Boarding house,0,Private residence,12 km,Walk,84581,Yes,Yes,33695,Yes
2024056,Dinuka,Wickramasinghe,25,Male,SLIIT,Medicine,3th Year,3.15,Yes,Boarding house,11804,Private residence,17 km,Private vehicle,143204,No,No,30209,No
2024057,Harsha,Jayasekara,22,Female,University of Colombo,Engineering,2th Year,3.5,Yes,Off-campus,9,Boarding house,3 km,Bus,107227,No,Yes,22016,Yes
2024058,Kasun,Wijesinghe,24,Female,University of Colombo,Engineering,3th Year,3.66,Yes,Boarding house,1299,On-campus,10 km,Private vehicle,191008,Yes,Yes,38136,Yes
2024059,Harsha,Jayasekara,21,Female,NSBM Green University,Business,3th Year,2.56,No,On-campus,0,Boarding house,18 km,Private vehicle,184793,Yes,No,25859,No
2024060,Nethmi,Silva,25,Male,University of Colombo,Engineering,2th Year,2.55,Yes,Boarding house,15611,On-campus,6 km,Private vehicle,207229,Yes,Yes,38656,Yes
2024061,Tharushi,Jayasekara,24,Female,SLIIT,IT,4th Year,2.68,No,Off-campus,0,On-campus,19 km,Train,283631,Yes,Yes,17711,No
2024062,Kasun,Jayasekara,21,Male,NSBM Green University,Business,1th Year,2.98,Yes,Boarding house,19512,On-campus,18 km,Walk,152565,Yes,Yes,34897,Yes
2024063,Ayesh,Fernando,24,Male,SLIIT,IT,2th Year,2.56,Yes,Off-campus,11907,Boarding house,7 km,Train,197385,Yes,No,33953,No
2024064,Ravindu,Fernando,25,Male,University of Colombo,IT,3th Year,3.82,No,Boarding house,0,On-campus,8 km,Walk,70405,No,No,37582,Yes
2024065,Ravindu,Silva,19,Male,University of Moratuwa,Medicine,2th Year,3.62,No,Boarding house,0,On-campus,2 km,Train,268459,Yes,No,28096,Yes
2024066,Harsha,Silva,22,Male,NSBM Green University,Business,4th Year,2.87,No,Boarding house,0,On-campus,11 km,Walk,136287,Yes,No,24817,Yes
2024067,Sachini,Jayasekara,21,Male,University of Moratuwa,Engineering,2th Year,3.19,No,Boarding house,0,Private residence,6 km,Private vehicle,123909,No,Yes,18758,No
2024068,Sachini,Wickramasinghe,19,Female,University of Colombo,Engineering,1th Year,3.17,No,Boarding house,0,Private residence,10 km,Bus,240809,No,Yes,20144,Yes
2024069,Kasun,Fernando,25,Male,University of Colombo,IT,4th Year,3.04,No,Off-campus,0,Private residence,8 km,Train,244554,No,Yes,18451,No
2024070,Ravindu,Jayasekara,20,Male,NSBM Green University,Business,1th Year,3.23,Yes,On-campus,3874,On-campus,6 km,Bus,172579,No,Yes,35787,No
2024071,Nethmi,Wijesinghe,23,Male,SLIIT,IT,2th Year,2.03,No,On-campus,0,Private residence,14 km,Train,54295,No,No,29598,Yes
2024072,Kasun,Jayasekara,20,Female,NSBM Green University,Medicine,4th Year,2.56,Yes,On-campus,20540,Private residence,15 km,Private vehicle,86163,Yes,No,23500,No
2024073,Harsha,Perera,18,Female,University of Colombo,Medicine,3th Year,3.63,No,Boarding house,0,Private residence,10 km,Private vehicle,283195,Yes,Yes,20025,Yes
2024074,Ayesh,Fernando,23,Male,University of Colombo,Business,1th Year,3.44,Yes,On-campus,2187,Private residence,10 km,Train,132707,Yes,No,27033,Yes
2024075,Ravindu,Fernando,25,Female,SLIIT,Engineering,3th Year,2.45,No,Boarding house,0,Private residence,20 km,Bus,182004,Yes,Yes,23233,Yes
2024076,Ayesh,Perera,23,Male,University of Colombo,IT,1th Year,2.91,Yes,Off-campus,10002,On-campus,7 km,Walk,179547,No,Yes,16609,No
2024077,Ayesh,Jayasekara,22,Male,University of Colombo,IT,1th Year,3.06,No,On-campus,0,Private residence,15 km,Private vehicle,84826,Yes,No,39883,Yes
2024078,Nethmi,Wickramasinghe,23,Female,SLIIT,Medicine,1th Year,2.35,Yes,Boarding house,7595,Boarding house,1 km,Bus,175272,No,No,20870,No
2024079,Sachini,Wijesinghe,25,Female,SLIIT,IT,3th Year,2.56,No,On-campus,0,On-campus,7 km,Train,190442,No,No,25348,No
2024080,Tharushi,Fernando,18,Female,NSBM Green University,Engineering,2th Year,2.06,Yes,On-campus,5069,Private residence,14 km,Walk,96993,Yes,No,20658,Yes
2024081,Nethmi,Silva,18,Male,NSBM Green University,IT,4th Year,3.99,Yes,On-campus,311,Private residence,16 km,Bus,77860,Yes,No,16415,Yes
2024082,Kasun,Wijesinghe,22,Male,SLIIT,IT,2th Year,2.01,No,Off-campus,0,Private residence,17 km,Bus,107228,Yes,No,35995,Yes
2024083,Dinuka,Fernando,18,Female,University of Moratuwa,Business,3th Year,3.5,No,On-campus,0,On-campus,8 km,Train,265158,No,Yes,25062,Yes
2024084,Dinuka,Wijesinghe,21,Female,University of Colombo,Medicine,4th Year,3.6,Yes,On-campus,21335,Boarding house,2 km,Walk,265209,No,No,26904,No
2024085,Ravindu,Wijesinghe,19,Female,NSBM Green University,IT,4th Year,3.04,Yes,On-campus,21204,Private residence,13 km,Walk,192945,No,No,38265,No
2024086,Tharushi,Perera,20,Female,SLIIT,Engineering,3th Year,2.91,Yes,On-campus,15017,Boarding house,8 km,Bus,293177,No,No,21629,Yes
2024087,Harsha,Wijesinghe,25,Male,SLIIT,IT,4th Year,3.67,Yes,On-campus,21386,Boarding house,16 km,Train,186272,No,Yes,27129,Yes
2024088,Kasun,Fernando,18,Male,NSBM Green University,Medicine,1th Year,3.64,Yes,Off-campus,10656,Boarding house,15 km,Train,224472,No,No,38054,Yes
2024089,Kasun,Fernando,24,Male,University of Moratuwa,Business,1th Year,2.29,Yes,On-campus,1347,Private residence,7 km,Bus,290428,No,No,22016,No
2024090,Dinuka,Silva,20,Female,University of Moratuwa,Medicine,2th Year,3.19,No,On-campus,0,On-campus,18 km,Train,227947,No,No,15426,No
2024091,Dinuka,Silva,21,Male,University of Colombo,Business,3th Year,3.38,No,Boarding house,0,Boarding house,8 km,Train,157163,Yes,Yes,26326,No
2024092,Kasun,Wickramasinghe,18,Male,NSBM Green University,Engineering,3th Year,3.46,No,Off-campus,0,Private residence,9 km,Walk,297525,Yes,Yes,21556,Yes
2024093,Nethmi,Fernando,20,Female,NSBM Green University,Medicine,2th Year,2.33,Yes,Boarding house,16974,Private residence,2 km,Bus,187114,Yes,No,35224,Yes
2024094,Tharushi,Wickramasinghe,25,Female,NSBM Green University,Business,3th Year,2.23,No,Off-campus,0,Boarding house,1 km,Train,161466,Yes,No,33605,Yes
2024095,Nethmi,Wijesinghe,23,Male,University of Colombo,Medicine,1th Year,3.51,Yes,On-campus,17771,Private residence,9 km,Private vehicle,148660,No,No,39362,No
2024096,Sachini,Wijesinghe,18,Male,University of Colombo,Business,1th Year,3.9,Yes,Boarding house,11349,Boarding house,3 km,Private vehicle,203388,No,No,36125,No
2024097,Dinuka,Jayasekara,24,Male,SLIIT,IT,4th Year,2.91,No,Off-campus,0,On-campus,6 km,Bus,201219,No,Yes,28657,Yes
2024098,Nethmi,Perera,22,Female,SLIIT,Business,4th Year,2.18,No,On-campus,0,Private residence,13 km,Train,166348,No,No,34216,Yes
2024099,Kasun,Wickramasinghe,24,Male,University of Moratuwa,Business,2th Year,2.92,Yes,On-campus,22833,Private residence,6 km,Private vehicle,207873,No,No,18311,Yes
2024100,Nethmi,Jayasekara,20,Male,University of Moratuwa,IT,3th Year,3.0,No,Boarding house,0,Boarding house,16 km,Walk,258483,Yes,Yes,29795,No
2024101,Ravindu,Jayasekara,20,Male,University of Moratuwa,Engineering,3th Year,3.74,No,Off-campus,0,Private residence,12 km,Walk,160490,No,Yes,16871,No
2024102,Harsha,Silva,19,Female,NSBM Green University,Engineering,2th Year,3.67,No,Off-campus,0,Private residence,11 km,Walk,130770,Yes,No,31954,Yes
2024103,Kasun,Jayasekara,25,Male,SLIIT,Medicine,3th Year,3.35,No,Boarding house,0,Private residence,6 km,Bus,185537,Yes,Yes,23480,Yes
2024104,Harsha,Jayasekara,23,Male,University of Moratuwa,IT,3th Year,3.17,Yes,Boarding house,8785,On-campus,4 km,Private vehicle,96381,No,No,32917,No
2024105,Nethmi,Wickramasinghe,24,Male,University of Moratuwa,IT,1th Year,2.04,Yes,Boarding house,22638,Boarding house,2 km,Bus,267377,No,No,26503,No
2024106,Tharushi,Fernando,18,Female,NSBM Green University,Medicine,3th Year,2.67,Yes,On-campus,13859,Private residence,5 km,Train,225280,No,Yes,17175,Yes
2024107,Tharushi,Jayasekara,18,Male,University of Colombo,Medicine,2th Year,2.28,Yes,Off-campus,15295,Private residence,13 km,Private vehicle,134516,No,Yes,22901,No
2024108,Nethmi,Silva,19,Male,University of Moratuwa,Medicine,3th Year,3.15,Yes,Boarding house,10297,On-campus,5 km,Bus,238084,Yes,Yes,22645,Yes
2024109,Sachini,Wickramasinghe,21,Female,NSBM Green University,IT,4th Year,2.94,Yes,Off-campus,23457,Private residence,10 km,Walk,231309,Yes,Yes,17603,Yes
2024110,Sachini,Wijesinghe,18,Male,University of Colombo,Business,1th Year,2.08,Yes,Off-campus,17389,Private residence,13 km,Private vehicle,146183,Yes,No,18895,Yes
2024111,Ravindu,Fernando,23,Male,SLIIT,Engineering,2th Year,2.43,No,Off-campus,0,On-campus,4 km,Walk,243612,Yes,Yes,21662,Yes
2024112,Tharushi,Wickramasinghe,21,Female,SLIIT,Medicine,3th Year,3.55,Yes,Off-campus,10603,On-campus,15 km,Private vehicle,214494,Yes,No,21909,No
2024113,Sachini,Perera,19,Female,University of Colombo,Medicine,3th Year,3.62,No,Boarding house,0,Boarding house,12 km,Bus,80621,Yes,Yes,35760,Yes
2024114,Sachini,Silva,21,Female,SLIIT,Engineering,2th Year,2.89,Yes,Off-campus,23680,On-campus,11 km,Walk,198469,Yes,No,33215,No
2024115,Sachini,Jayasekara,22,Male,SLIIT,Medicine,2th Year,2.73,No,Boarding house,0,Private residence,6 km,Train,130634,No,No,24099,Yes
2024116,Kasun,Silva,23,Male,NSBM Green University,IT,2th Year,3.67,No,Boarding house,0,Boarding house,16 km,Walk,141364,No,Yes,35605,No
2024117,Harsha,Wickramasinghe,25,Female,University of Colombo,IT,3th Year,2.94,Yes,On-campus,12419,Boarding house,16 km,Private vehicle,115984,Yes,No,31439,Yes
2024118,Dinuka,Perera,20,Female,University of Moratuwa,Engineering,3th Year,3.24,No,Off-campus,0,Private residence,18 km,Bus,282132,No,Yes,39429,No
2024119,Tharushi,Fernando,21,Female,NSBM Green University,IT,1th Year,3.17,Yes,On-campus,20013,Boarding house,17 km,Bus,121496,No,No,23560,No
2024120,Kasun,Fernando,23,Male,SLIIT,IT,2th Year,3.71,No,On-campus,0,Boarding house,11 km,Private vehicle,236760,Yes,No,21579,No
2024121,Harsha,Fernando,19,Male,NSBM Green University,Engineering,1th Year,3.96,Yes,Off-campus,5162,Boarding house,14 km,Train,58888,No,No,23359,Yes
2024122,Ravindu,Fernando,22,Female,NSBM Green University,Business,2th Year,2.21,Yes,Off-campus,1680,On-campus,7 km,Bus,51993,No,No,31858,No
2024123,Nethmi,Jayasekara,18,Male,University of Moratuwa,Medicine,4th Year,2.88,Yes,Boarding house,15450,Private residence,7 km,Walk,216292,No,No,26701,No
2024124,Ravindu,Jayasekara,19,Female,University of Colombo,Medicine,3th Year,2.6,Yes,Boarding house,10334,Boarding house,12 km,Walk,114852,Yes,Yes,38991,Yes
2024125,Dinuka,Perera,23,Male,NSBM Green University,Medicine,3th Year,2.3,No,On-campus,0,Boarding house,17 km,Bus,143177,No,No,30930,No
2024126,Dinuka,Perera,23,Male,SLIIT,Business,4th Year,2.06,No,Boarding house,0,Private residence,2 km,Train,112137,Yes,Yes,16020,No
2024127,Nethmi,Wijesinghe,24,Male,NSBM Green University,Medicine,2th Year,3.51,No,Boarding house,0,Private residence,12 km,Private vehicle,266202,No,Yes,25980,Yes
2024128,Kasun,Perera,20,Female,University of Moratuwa,Medicine,4th Year,2.54,Yes,On-campus,22858,On-campus,15 km,Bus,231440,Yes,No,33091,Yes
2024129,Ravindu,Jayasekara,21,Male,University of Colombo,Engineering,2th Year,2.24,No,Boarding house,0,Boarding house,14 km,Walk,144885,No,Yes,23099,No
2024130,Dinuka,Silva,20,Female,University of Colombo,Business,3th Year,3.41,Yes,On-campus,18345,On-campus,7 km,Train,177031,No,Yes,29435,No
2024131,Dinuka,Wickramasinghe,18,Female,University of Moratuwa,Engineering,4th Year,3.2,No,Off-campus,0,Private residence,11 km,Private vehicle,87663,No,No,17144,No
2024132,Ayesh,Silva,21,Female,SLIIT,IT,4th Year,3.58,Yes,Boarding house,3304,Private residence,10 km,Walk,280827,Yes,Yes,28182,Yes
2024133,Tharushi,Jayasekara,21,Male,University of Moratuwa,Engineering,1th Year,2.47,Yes,Boarding house,6498,Boarding house,20 km,Private vehicle,58671,Yes,No,16034,Yes
2024134,Nethmi,Wijesinghe,25,Male,University of Moratuwa,Medicine,3th Year,3.01,Yes,Off-campus,1394,Boarding house,14 km,Bus,80896,Yes,Yes,28272,Yes
2024135,Ayesh,Wijesinghe,21,Male,University of Moratuwa,Business,3th Year,3.12,No,Off-campus,0,On-campus,9 km,Bus,224758,No,No,35213,No
2024136,Harsha,Wickramasinghe,23,Male,University of Colombo,Engineering,3th Year,3.79,Yes,Off-campus,8236,On-campus,12 km,Bus,171972,Yes,No,28969,No
2024137,Kasun,Perera,20,Male,NSBM Green University,Engineering,4th Year,3.83,No,Off-campus,0,On-campus,2 km,Private vehicle,281938,Yes,Yes,30453,No
2024138,Harsha,Jayasekara,24,Female,SLIIT,Engineering,3th Year,3.36,Yes,Boarding house,12742,Boarding house,10 km,Walk,113920,Yes,Yes,34185,No
2024139,Nethmi,Silva,22,Male,NSBM Green University,IT,1th Year,2.68,Yes,Boarding house,18672,Boarding house,13 km,Train,266777,No,Yes,34117,Yes
2024140,Ayesh,Jayasekara,22,Male,SLIIT,Engineering,4th Year,2.51,No,Off-campus,0,Private residence,15 km,Bus,238996,No,Yes,33177,Yes
2024141,Harsha,Wickramasinghe,22,Male,SLIIT,Business,3th Year,2.95,No,Boarding house,0,On-campus,1 km,Private vehicle,198313,Yes,Yes,33930,No
2024142,Ayesh,Jayasekara,23,Male,University of Colombo,IT,2th Year,2.83,No,Off-campus,0,Private residence,19 km,Bus,239966,Yes,Yes,32842,No
2024143,Kasun,Wijesinghe,24,Female,SLIIT,Business,1th Year,3.65,No,Off-campus,0,Private residence,1 km,Private vehicle,109819,No,Yes,28735,Yes
2024144,Ravindu,Fernando,23,Female,University of Colombo,Medicine,2th Year,3.62,No,On-campus,0,Private residence,13 km,Train,134646,No,No,16374,Yes
2024145,Harsha,Wickramasinghe,20,Male,University of Colombo,IT,1th Year,2.39,Yes,Boarding house,14341,Private residence,2 km,Bus,100704,Yes,Yes,29834,Yes
2024146,Dinuka,Jayasekara,18,Female,NSBM Green University,Business,2th Year,2.96,No,Boarding house,0,On-campus,9 km,Train,61376,Yes,Yes,39368,Yes
2024147,Tharushi,Silva,19,Female,University of Colombo,IT,1th Year,2.95,No,On-campus,0,Boarding house,5 km,Train,154709,Yes,Yes,31130,No
2024148,Sachini,Wickramasinghe,24,Female,NSBM Green University,Business,1th Year,2.24,Yes,Boarding house,645,Boarding house,5 km,Private vehicle,109671,No,No,22326,Yes
2024149,Sachini,Fernando,22,Female,NSBM Green University,Business,3th Year,3.54,No,Boarding house,0,Private residence,9 km,Train,105734,Yes,No,15851,No
2024150,Ayesh,Wickramasinghe,21,Female,NSBM Green University,Engineering,2th Year,2.13,Yes,On-campus,7557,On-campus,11 km,Train,84017,No,Yes,33278,No
2024151,Ayesh,Fernando,21,Female,University of Colombo,Engineering,1th Year,3.8,No,On-campus,0,Boarding house,19 km,Walk,84715,Yes,No,16835,Yes
2024152,Nethmi,Perera,23,Female,SLIIT,Business,2th Year,2.24,Yes,Boarding house,4261,On-campus,1 km,Bus,202982,No,No,38540,Yes
2024153,Harsha,Silva,25,Male,University of Colombo,IT,4th Year,2.95,No,Off-campus,0,Boarding house,6 km,Private vehicle,255451,No,No,17152,Yes
2024154,Tharushi,Silva,24,Female,University of Moratuwa,Medicine,4th Year,2.65,No,Off-campus,0,On-campus,9 km,Walk,186477,No,No,30947,Yes
2024155,Nethmi,Wijesinghe,22,Female,NSBM Green University,Medicine,1th Year,2.18,Yes,Off-campus,24140,Private residence,2 km,Private vehicle,284760,Yes,No,34226,Yes
2024156,Sachini,Wickramasinghe,24,Female,SLIIT,IT,2th Year,3.6,No,Off-campus,0,On-campus,5 km,Bus,64341,No,No,18388,No
2024157,Tharushi,Jayasekara,25,Female,SLIIT,Engineering,1th Year,3.74,Yes,Off-campus,13991,On-campus,12 km,Train,192656,No,No,29480,Yes
2024158,Dinuka,Wickramasinghe,18,Female,SLIIT,Business,1th Year,2.8,Yes,Boarding house,21466,On-campus,10 km,Train,246621,Yes,Yes,38957,Yes
2024159,Tharushi,Fernando,19,Female,SLIIT,Engineering,2th Year,3.57,No,Off-campus,0,Boarding house,17 km,Bus,68619,Yes,No,23914,Yes
2024160,Kasun,Fernando,23,Male,NSBM Green University,Medicine,4th Year,2.61,No,Off-campus,0,Boarding house,13 km,Private vehicle,190596,Yes,Yes,31145,No
2024161,Kasun,Jayasekara,22,Female,NSBM Green University,Engineering,4th Year,3.17,No,On-campus,0,Private residence,14 km,Walk,146880,No,Yes,39931,No
2024162,Nethmi,Silva,25,Female,University of Colombo,Engineering,1th Year,2.23,No,Off-campus,0,Boarding house,5 km,Private vehicle,208367,Yes,No,28783,Yes
2024163,Ravindu,Wijesinghe,25,Male,NSBM Green University,Medicine,4th Year,2.71,Yes,On-campus,4485,Private residence,5 km,Bus,160715,No,No,17132,Yes
2024164,Ayesh,Fernando,24,Female,NSBM Green University,Business,4th Year,2.04,Yes,Off-campus,19209,Boarding house,15 km,Walk,92560,No,Yes,32537,No
2024165,Ravindu,Silva,19,Male,University of Moratuwa,Business,3th Year,2.39,No,Boarding house,0,Boarding house,14 km,Private vehicle,108815,Yes,No,18592,Yes
2024166,Sachini,Silva,23,Female,NSBM Green University,Business,4th Year,2.66,Yes,On-campus,24073,On-campus,13 km,Private vehicle,298245,Yes,Yes,25488,Yes
2024167,Ravindu,Fernando,23,Male,SLIIT,Medicine,1th Year,3.79,Yes,Boarding house,1381,Boarding house,16 km,Private vehicle,198720,Yes,No,39666,No
2024168,Ayesh,Perera,24,Male,NSBM Green University,Medicine,3th Year,3.91,Yes,On-campus,1603,Boarding house,2 km,Private vehicle,73944,No,No,35637,No
